Name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
"Kungsholms strand 179, 3 tr",31.0,1,1662,3150000,101613,2023-09-29,Stockholms kommun,Kungsholmen - Fridhemsplan,Lägenhet
Ringvägen 18C,112.0,4,,3575000,,2023-09-29,Lunds kommun,Södra Sandby,Villa
Havstenavägen 44,58.5,2,3207,735000,12564,2023-09-29,Skövde kommun,Havstena,Lägenhet
Sturegatan 54,77.0,3,3865,3050000,39610,2023-09-29,Borås kommun,Villastaden,Lägenhet
Väderkvarnsgatan 21A,92.0,4,6380,2695000,29293,2023-09-29,Uppsala kommun,Centrum,Lägenhet
Hamnesplanaden 4B,64.6,3,3672,2500000,38700,2023-09-29,Uppsala kommun,Centrum Uppsala,Lägenhet
Tegnérsgatan 18A,85.0,3,4532,1780000,20941,2023-09-29,Karlstads kommun,Herrhagen,Lägenhet
Beckomberga Ängsväg 24,58.0,3,3696,2900000,50000,2023-09-29,Stockholms kommun,Bromma / Beckomberga,Lägenhet
Wennerbergsgatan 30,108.0,4,,5790000,,2023-09-29,Mölndals kommun,Mölndal - Toltorpsdalen,Villa
Bråtavägen 21,75.0,4,,1150000,,2023-09-29,Alingsås kommun,Anten/degebo/granvattnet,Villa
Stabberud 2,161.0,+14,,1650000,,2023-09-29,,,
Masugnsvägen 54,73.0,3,5185,4695000,64315,2023-09-29,Stockholms kommun,Ulvsunda Industriområde,Lägenhet
Sundellsgatan 15 B,85.0,3,5500,390000,4588,2023-09-29,Haparanda kommun,Centrum,Lägenhet
Föreningsgatan 40 A,42.5,1,3723,465000,10941,2023-09-29,Sjöbo kommun,Sjöbo,Lägenhet
Holgersgatan 4C,54.0,2,4819,1150000,21296,2023-09-29,Falkenbergs kommun,Centrum,Lägenhet
Harmonigatan 11E,62.0,2,4534,750000,12097,2023-09-29,Sundsvalls kommun,Skönsmon,Lägenhet
Torsgatan 27,60.0,2,3215,5275000,87917,2023-09-29,Stockholms kommun,Vasastan,Lägenhet
Kristinebergsvägen 24,61.0,2,3205,5050000,82787,2023-09-29,Thorildsplan,Kungsholmen,Lägenhet
Gustavsgatan 9C,75.0,3,4443,550000,7333,2023-09-29,Karlskoga kommun,Centralt,Lägenhet
Lantmätaregatan 17A,67.0,3,4299,2500000,37313,2023-09-29,Göteborgs kommun,Centrala Hisingen Kvillebäcken,Lägenhet
Bohmgatan 24,91.0,5,,2950000,,2023-09-29,Rättviks kommun,Lerdal,Villa
Villanäs 409 stuga nr 12,25.0,1,,825000,,2023-09-29,Umeå kommun,Villanäs,Fritidshus
"Johannesgatan 4A, 2 tr",77.0,4,3380,9150000,118831,2023-09-29,Stockholms kommun,Norrmalm,Lägenhet
Vintervägen 33,96.0,4,,620000,,2023-09-29,Hedemora kommun,Vikmanshyttan,Villa
Rödhakevägen 2,190.0,5,,8600000,,2023-09-29,Halmstads kommun,Stenhuggeriet,Villa
Follingbo Tingstomt 751,70.0,3,,2200000,,2023-09-29,Gotlands kommun,Follingbo,Villa
Runvägen 11D,55.5,2,3767,830000,14955,2023-09-29,Kalmar kommun,Berga,Lägenhet
"Oktobergatan 8, 2 tr",41.0,2,2502,3100000,75610,2023-09-29,Stockholms kommun,Midsommarkransen,Lägenhet
Kastellgatan 56,69.5,3,4808,415000,5971,2023-09-29,Härnösands kommun,Norra Brännan,Lägenhet
Penselgatan 6,80.0,3,5304,3590000,44875,2023-09-29,Göteborgs kommun,Centrala Hisingen,Lägenhet
Storabackegatan 15 B,50.6,2,2561,1690000,33399,2023-09-29,Malmö kommun,Limhamn,Lägenhet
Blåklockevägen 2,60.0,3,,1100000,,2023-09-29,Sjöbo kommun,Sommarbyarna,Villa
Lahallsvägen 159,90.0,5,,4550000,,2023-09-29,Härryda kommun,Mölnlycke - Finnsjön,Villa
"Oxelvägen 43, 1 tr",115.0,5,7807,3175000,27609,2023-09-29,Nacka kommun,Älta - Stensö,Lägenhet
Rubingatan 24A,85.0,4,5612,1550000,18235,2023-09-29,Västerås kommun,Bäckby,Lägenhet
Karbenningsgatan 4A,95.5,4,5331,1795000,18796,2023-09-29,Västerås kommun,Malmaberg,Lägenhet
"Hättkvarnsgatan 5, entréplan",33.0,1,2454,1350000,40909,2023-09-29,Järfälla kommun,Jakobsberg - Söderdalen,Lägenhet
Rättarevägen 32,123.0,4,,2500000,,2023-09-29,Höganäs kommun,Östra Lerberget,Radhus
Prästbordsvägen 28,146.0,6,,2075000,,2023-09-29,Sandvikens kommun,Årsunda,Villa
Julitagatan 5 C,71.3,3,4589,1595000,22370,2023-09-29,Katrineholms kommun,Söder,Lägenhet
Lanhagsgatan 25,74.5,3,4028,2000000,26846,2023-09-29,Norrköpings kommun,Skarphagen,Lägenhet
S:t Knuts väg 10 B,40.0,1,2861,1600000,40000,2023-09-29,Malmö kommun,S:t Knut,Lägenhet
Fridhemsgatan 8,127.0,3,3888,10650000,83858,2023-09-29,Stockholms kommun,Kungsholmen,Lägenhet
Sörbygatan 71A,64.5,2,3756,1360000,21085,2023-09-29,Gävle kommun,Södertull,Lägenhet
Östervärnsgatan 16 B,46.0,"2,5",2983,1625000,35326,2023-09-29,Malmö kommun,Värnhem,Lägenhet
Asarvegatan 16,84.5,4,4695,910000,10769,2023-09-29,Gotlands kommun,Hemse,Lägenhet
Tetravägen 11,72.0,3,,2500000,,2023-09-29,Lunds kommun,Dalby,Villa
Hjälmshultsgatan 12,51.0,2,3250,1825000,35784,2023-09-29,Helsingborgs kommun,Tågaborg,Lägenhet
Skolgatan 9A,58.0,2,3562,675000,11638,2023-09-29,Hässleholms kommun,Hässleholm - Centralt,Lägenhet
Infanterigatan 27,50.0,2,2782,1345000,26900,2023-09-29,Östersunds kommun,Centrala Östersund,Lägenhet
Kulladalsgatan 30D,80.5,3,4917,1550000,19255,2023-09-29,Malmö kommun,Kulladal,Lägenhet
Gränsvägen 8 D,77.5,3,4361,1100000,14194,2023-09-29,Östersunds kommun,Brunflo,Lägenhet
Solnavägen 108,77.0,3,6000,5995000,77857,2023-09-29,Solna kommun,Gamla Råsunda - Stråket,Lägenhet
Johan Anderssons väg 6,106.0,4,,1000000,,2023-09-29,,,
"Horisontvägen 81, 2tr",66.0,2,4979,2210000,33485,2023-09-29,Stockholms kommun,Skarpnäck,Lägenhet
Korstavägen 4D,77.0,3,5636,795000,10325,2023-09-29,Sundsvalls kommun,Korsta,Lägenhet
Långgatan 27,86.0,3,4749,1685000,19593,2023-09-29,Luleå kommun,Skurholmen,Lägenhet
Bergslagsresan 115,68.5,2,4207,1425000,20803,2023-09-29,Uppsala kommun,Sävja,Lägenhet
Sjövägen 41C,183.0,8,,5600000,,2023-09-29,Trelleborgs kommun,Beddingestrand,Villa
Granitvägen 28A,27.0,1,1733,1370000,50741,2023-09-29,Tyresö kommun,Tyresö Centrum,Lägenhet
Östervägen 9A,39.0,"1,5",2781,2530000,64872,2023-09-29,Solna kommun,Råsunda,Lägenhet
Apelqvistvägen 12,114.0,3,,1900000,,2023-09-29,Gällivare kommun,Apelqvistheden,Villa
Silverdalsvägen 25,93.5,"4,5",3824,5460000,58396,2023-09-29,Sollentuna kommun,Silverdal,Lägenhet
Slussgatan 14 U5,53.0,2,3332,2395000,45189,2023-09-29,Malmö kommun,Slussen,Lägenhet
"Mörbydalen 25, Våning 6",57.6,2,3465,3200000,55556,2023-09-29,Danderyds kommun,Mörby Centrum,Lägenhet
Sidvallsgatan 8,95.0,4,,3450000,,2023-09-29,Karlstads kommun,Färjestad,Villa
Fabrikörvägen 6,44.0,2,3629,2750000,62500,2023-09-29,Nacka kommun,Nacka Strand,Lägenhet
En avstyckad tomt Bonäs 1:27,2.0,077,,1500000,,2023-09-29,,,
Storgatan 56,64.2,2,3043,2775000,43224,2023-09-29,Solna kommun,Huvudsta,Lägenhet
Rodgavägen 22,109.0,5,,2920000,,2023-09-29,Norrköpings kommun,Simonstorp,Villa
Nobelvägen 107B,54.5,2,3582,1595000,29266,2023-09-29,Malmö kommun,Nobeltorget,Lägenhet
Axel Swartlings gata 152,120.0,5,,2325000,,2023-09-29,Norrköpings kommun,Klockaretorpet,Radhus
Lilldalsvägen 13,114.0,6,,5300000,,2023-09-29,Salems kommun,Rönninge,Villa
Ljömsebo Ringvägen 32,100.0,3,,1670000,,2023-09-29,Sala kommun,Ljömsebo,Villa
Vallgatan 24A,55.5,2,4775,960000,17297,2023-09-29,Lidköpings kommun,Centralt,Lägenhet
"Babordsgatan 5, 2 tr",85.0,3,5069,6300000,74118,2023-09-29,Stockholms kommun,Hammarby Sjöstad,Lägenhet
Grängshyttan 157,43.0,3,,385000,,2023-09-29,Hällefors kommun,Hällefors,Fritidshus
Bil-Oskars gata 9,106.0,5,6382,2395000,22594,2023-09-29,Enköpings kommun,Fanna,Radhus
Skumparpsvägen 393,100.0,3,,1500000,,2023-09-29,Sjöbo kommun,Starrarp,Villa
Sörhallstorget 21,124.0,5,6279,7850000,63306,2023-09-29,Göteborgs kommun,Eriksberg,Lägenhet
Annebergsgatan 19C,105.0,4,6399,2550000,24286,2023-09-29,Malmö kommun,Borgmästaregården,Lägenhet
Katarina Bangata 61,33.0,1,1946,3300000,100000,2023-09-29,Stockholms kommun,Sofia,Lägenhet
Ormingeringen 49 E,45.0,2,3075,1800000,40000,2023-09-29,Nacka kommun,Västra Orminge,Lägenhet
Formarstigen 12,56.0,2,3363,3750000,66964,2023-09-29,Värmdö kommun,Gustavsberg Höjdhagen,Lägenhet
Assessorsgatan 6,53.0,2,3371,4265000,80472,2023-09-29,Stockholms kommun,Katarina,Lägenhet
Remontgatan 68,108.0,4,,3650000,,2023-09-29,Malmö kommun,Jägersro Villastad,Villa
Sågstuvägen 29,61.0,2,3773,1670000,27377,2023-09-29,Huddinge kommun,Visättra,Lägenhet
Kråkåsvägen 9,117.0,5,,1000000,,2023-09-29,Degerfors kommun,Bruket,Villa
Fålhagsleden 1B,47.5,2,3434,2270000,47789,2023-09-29,Uppsala kommun,Fålhagen,Lägenhet
"Hammarby Allé 119, 3 tr",77.0,3,4562,4825000,62662,2023-09-29,Stockholms kommun,Hammarby Sjöstad,Lägenhet
Lapplandsgatan 10,137.0,6,,4050000,,2023-09-29,Alingsås kommun,Kvarnbacken,Radhus
Stekastigen 6,60.5,2,4876,1200000,19835,2023-09-29,Göteborgs kommun,Agnesberg,Lägenhet
Reveljgränd 7,103.0,4,5390,1860000,18058,2023-09-29,Östersunds kommun,Körfältet,Lägenhet
Bernhard Pers väg 8,100.0,3,,2150000,,2023-09-29,Simrishamns kommun,Gärsnäs,Villa
Ellen Keys Gata 24,33.0,1,3397,1895000,57424,2023-09-29,Stockholms kommun,Fruängen,Lägenhet
Söderled 3,95.0,5,,1950000,,2023-09-29,Kinda kommun,Rimforsa,Villa
Lunserudsvägen 10C,76.0,3,3876,1000000,13158,2023-09-29,Hammarö kommun,Skoghall,Lägenhet
Ringsberg 4,6.0,6,,5650000,,2023-09-29,Jönköpings kommun,Huskvarna Knutstorp,Villa
Bergkullevägen 256,168.0,6,,1900000,,2023-09-29,Trollhättans kommun,Sylte,Radhus
Albert Målares väg 19F,90.0,4,,4450000,,2023-09-29,Täby kommun,Täby Kyrkby,Radhus
"Vickervägen 14, 4 tr PRISSÄNKT",58.5,2,4302,1400000,23932,2023-09-29,Botkyrka kommun,Norra Botkyrka,Lägenhet
Fredrika bremers gata 19,109.0,"4,5",8558,3800000,34862,2023-09-29,Stockholms kommun,Fruängen,Lägenhet
Sofierogatan 8,143.0,5,,4950000,,2023-09-29,Ängelholms kommun,Munka-Ljungby,Villa
Trollhasselgatan 6,63.0,2,3873,3000000,47619,2023-09-29,Göteborgs kommun,Centrala Hisingen,Lägenhet
Sågvägen 27F,114.0,4,6185,1650000,14474,2023-09-29,Norrköpings kommun,Skärblacka,Lägenhet
"Ljusstöparbacken 1, 3.5tr",84.5,"3,5",5017,5700000,67456,2023-09-29,Stockholms kommun,Gröndal,Lägenhet
Hagby-Forsa 112,154.0,6,,2980000,,2023-09-29,Uppsala kommun,Vänge,Villa
Bergsmansgatan 12B,35.5,2,2145,400000,11268,2023-09-29,Karlskoga kommun,Centralt,Lägenhet
Östuna Erkesberga 37,25.0,1,,2050000,,2023-09-29,Knivsta kommun,Östuna,Villa
Snöfjällsgränd 19,119.0,5,5114,4400000,36975,2023-09-29,Stockholms kommun,Kistahöjden,Radhus
Östsvängen 1A,23.0,1,1698,1200000,52174,2023-09-29,Linköpings kommun,Gottfridsberg,Lägenhet
"Arkitektvägen 85, 3tr",89.0,4,5680,6000000,67416,2023-09-29,Stockholms kommun,Bromma - Abrahamsberg,Lägenhet
Tjustvägen 32,124.0,5,,900000,,2023-09-29,Västerviks kommun,Ankarsrum,Villa
Kristianstadsvägen 4B,54.0,2,3366,1595000,29537,2023-09-29,Ystads kommun,Centrala Ystad,Lägenhet
Ågårdsgatan 5C,40.0,1,2085,385000,9625,2023-09-29,Ronneby kommun,Påfågeln / Centrum,Lägenhet
Fältvägen 9,97.0,5,,1325000,,2023-09-29,Piteå kommun,Rosvik,Villa
Heimdalsgatan 9,112.0,4,,1650000,,2023-09-29,Åstorps kommun,Åstorp,Villa
Stationsgränd 3,63.0,3,,925000,,2023-09-29,Timrå kommun,Söråker,Villa
Benvägen 36,74.9,2,4077,500000,6676,2023-09-29,Västerås kommun,Bjurhovda,Lägenhet
Bälingevägen 395,154.0,6,,3000000,,2023-09-29,Luleå kommun,Bälinge,Gård/Skog
Beckomberga ängsväg 49,72.0,3,4634,4150000,57639,2023-09-29,Stockholms kommun,Bromma / Beckomberga,Lägenhet
Låkebergsgatan 21,183.0,7,,5600000,,2023-09-29,Göteborgs kommun,Torslanda - Centralt,Radhus
Vrenninge Djurabäck 904,132.0,5,,1800000,,2023-09-29,Halmstads kommun,Sennan,Villa
Hamnvägen 4,182.0,5,8866,16250000,89286,2023-09-29,Lidingö kommun,Gåshaga Pirar,Lägenhet
Brunnshögsgatan 6,108.0,3,5306,5250000,48611,2023-09-29,Lunds kommun,Brunnshög,Lägenhet
Nämndemansvägen 1,115.0,5,,1795000,,2023-09-29,Sundsvalls kommun,Njurunda,Villa
Mjölkvägen 171,91.5,4,7099,1150000,12568,2023-09-29,Umeå kommun,Östra Ersboda,Lägenhet
Glasbergavägen 18,119.7,5,7571,3225000,26942,2023-09-29,Södertälje kommun,Östertälje,Radhus
Ankargatan 29,80.3,3,4111,3300000,41096,2023-09-29,Västerås kommun,Öster Mälarstrand,Lägenhet
Fuktarevägen 7,102.0,4,,1580000,,2023-09-29,Klippans kommun,Pappersbruket,Villa
Vitemöllegatan 6A,48.7,2,3180,1395000,28645,2023-09-29,Malmö kommun,Nobeltorget/Annelund,Lägenhet
Sanatoriegatan 16A,65.0,4,4247,4800000,73846,2023-09-29,Göteborgs kommun,Kålltorp,Lägenhet
Storkgatan 7 C,34.0,"1,5",2116,2420000,71176,2023-09-29,Göteborgs kommun,Bagaregården,Lägenhet
Bergslagsresan 31,76.0,3,4852,1825000,24013,2023-09-29,Uppsala kommun,SÄVJA,Lägenhet
Duvedalen 321,88.0,4,,1695000,,2023-09-29,Degerfors kommun,Duvedalen,Villa
Olivedalsgatan 9,99.1,4,6402,4970000,50151,2023-09-29,Göteborgs kommun,Linnéstaden,Lägenhet
"Skaldevägen 62 - 64, brf lokal",2.0,2,1979,550000,,2023-09-29,Stockholms kommun,Bromma Olovslund - Nockeby,Övrigt
Nyckelgatan 108,64.5,"64,5",3795,1300000,20155,2023-09-29,Skellefteå kommun,Sörböle,Lägenhet
Luthagsesplanaden 9B,31.5,1,2195,1750000,55556,2023-09-29,Uppsala kommun,Främre Luthagen,Lägenhet
Strandpromenaden F36,4.0,1,,190000,,2023-09-29,Ystads kommun,Sandskogen,Fritidshus
Tullaregatan 18,103.5,4,8270,7995000,77246,2023-09-29,Helsingborgs kommun,Norra Hamnen,Lägenhet
Metargränd 7,77.3,4,5666,3075000,39780,2023-09-29,Umeå kommun,Teg,Lägenhet
Bielkevägen 4,129.0,7,,11800000,,2023-09-29,Stockholms kommun,Bromma - Ulvsunda,Villa
Allévägen 15 A  1 Tr,64.0,2,3549,1250000,19531,2023-09-29,Haninge kommun,Tungelsta,Lägenhet
"Ljusterögatan 5, 4 tr",41.0,"1,5",2849,3800000,92683,2023-09-29,Stockholms kommun,Sofia,Lägenhet
Folkungagatan 112,91.0,"3,5",3760,9300000,102198,2023-09-29,Stockholms kommun,Södermalm - Sofia,Lägenhet
Tussmötevägen 192B,75.0,2,4482,4000000,53333,2023-09-29,Stockholms kommun,Stureby,Lägenhet
Einar Hansens esplanad 20A,36.0,"1,5",2521,1695000,47083,2023-09-29,Malmö kommun,Västra Hamnen,Lägenhet
Lovisagatan 25C,54.5,2,3249,1770000,32477,2023-09-29,Jönköpings kommun,Gräshagen,Lägenhet
Erikslustvägen 38B,26.5,1,1948,1185000,44717,2023-09-29,Malmö kommun,Erikslust,Lägenhet
Munkhättevägen 15A,46.0,2,3434,1500000,32609,2023-09-29,Botkyrka kommun,Tumba Park,Lägenhet
Granövägen 42,124.0,5,9979,1550000,12500,2023-09-29,Södertälje kommun,Hovsjö,Lägenhet
Arkitektgatan 4D,53.0,2,3419,1425000,26887,2023-09-29,Karlskrona kommun,Långö,Lägenhet
"Klippgatan 12A, 7tr",96.5,4,4941,5075000,52591,2023-09-29,Solna kommun,Solna Centrum,Lägenhet
Piltagårdsgatan 26B,109.0,5,,1475000,,2023-09-29,Falköpings kommun,Stenstorp,Radhus
Bedaröbacken 7,126.0,5,,7500000,,2023-09-29,Stockholms kommun,Högdalen,Villa
Tallrotsgatan 23,76.5,3,4201,1700000,22222,2023-09-29,Sundsvalls kommun,Haga,Lägenhet
Ängslyckevägen 5,116.0,6,,4750000,,2023-09-29,Värmdö kommun,Djurö,Villa
Bergavägen 70,98.0,4,6663,3425000,34949,2023-09-29,Österåkers kommun,Åkersberga Centralt,Lägenhet
Björkmansvägen 30,102.0,4,,2150000,,2023-09-29,Gällivare kommun,Björkmansheden,Villa
Konstapelgränd 4,84.0,3,4698,965600,11495,2023-09-29,Östersunds kommun,Körfältet,Lägenhet
Carlsgatan 7F,29.0,1,1863,1900000,65517,2023-09-29,Malmö kommun,City,Lägenhet
Brudsjön 104,118.0,4,,1795000,,2023-09-29,Sundsvalls kommun,Liden,Villa
Radarvägen 11,80.5,3,4839,2700000,33540,2023-09-29,Täby kommun,Hägernäs,Lägenhet
Snickartorpsvägen 18,135.0,5,,2275000,,2023-09-29,Surahammars kommun,Surahammar,Villa
Östra Storgatan 2B,41.0,1,2121,1175000,28659,2023-09-29,Eskilstuna kommun,Norr,Lägenhet
Tisdagsgatan 5,72.0,3,,4400000,,2023-09-29,Malmö kommun,Rosenvång,Radhus
Fjärilsvägen 25,112.0,6,,4130000,,2023-09-29,Upplands Väsby kommun,Fresta,Villa
Folkungagatan 31A,58.0,2,3172,750000,12931,2023-09-29,Mjölby kommun,Lundby,Lägenhet
Folkungagatan 12,95.5,4,5762,2795000,29267,2023-09-29,Linköpings kommun,Centralt,Lägenhet
Hagagatan 12,82.0,3,4053,8350000,101829,2023-09-29,Stockholms kommun,Vasastan,Lägenhet
Hökegårdsgatan 2A,67.5,3,5061,3200000,47407,2023-09-29,Mölndals kommun,Mölndal,Lägenhet
Vickervägen 6,121.0,5,,2510000,,2023-09-29,Kalmar kommun,Ljungbyholm,Villa
Västervägen 12,135.0,5,,6000000,,2023-09-29,Upplands Väsby kommun,Bollstanäs,Radhus
Kungsgatan 37A,103.5,4,5058,3600000,34783,2023-09-29,Linköpings kommun,Centralt,Lägenhet
Hornsbergs Strand 15C,40.0,2,2000,3300000,82500,2023-09-29,Stockholms kommun,Västra Kungsholmen  - Hornsbergs Strand,Lägenhet
Kall Bergsjön 60,55.0,3,,700000,,2023-09-29,Åre kommun,Järpen,Villa
Övre vägen 33,150.0,5,,5255000,,2023-09-29,Norrköpings kommun,Svärtinge,Villa
Stackerud Myrheden,100.0,4,,275000,,2023-09-29,Hagfors kommun,Ekshärad,Villa
"Riddargatan 21, 4 tr",31.0,1,1796,3800000,122581,2023-09-29,Stockholms kommun,Östermalm,Lägenhet
Örsholmsgången 8A,55.0,2,4002,1675000,30455,2023-09-29,Malmö kommun,Fågelbacken / Hästhagen,Lägenhet
Föreningsgatan 94A,114.0,5,,2800000,,2023-09-29,Varbergs kommun,Öster,Radhus
Bergvägen 8A,134.0,9,,6800000,,2023-09-29,Tyresö kommun,Hanviken,Villa
"Finnlindorna, Lövberget -KÄLLBÄCKEN 5:7",22.0,2,,325000,,2023-09-29,Gagnefs kommun,Gagnef,Fritidshus
Strandvägen 18,146.5,4,9053,2950000,20137,2023-09-29,Karlstads kommun,Herrhagen,Lägenhet
Hargsvägen 11B,52.5,2,3971,825000,15714,2023-09-29,Mjölby kommun,Östra,Lägenhet
Tångringsgatan 16,44.5,1,2011,755000,16966,2023-09-29,Borlänge kommun,Hagalund,Lägenhet
Angseboda Högaberg 1,115.0,5,,620000,,2023-09-29,Vetlanda kommun,Landsbro,Villa
Tegefjäll Kråkbäret 4A,67.0,4,2382,4250000,63433,2023-09-29,Åre kommun,Åre,Lägenhet
Brattåsstigen 8,74.0,3,5295,2650000,35811,2023-09-29,Ale kommun,Surte,Lägenhet
Viktor Rydbergsgatan 1,76.5,3,4899,1940000,25359,2023-09-29,Uppsala kommun,Nyby,Lägenhet
Katarina västra kyrkogata 4B,60.0,2,3568,5500000,91667,2023-09-29,Stockholms kommun,Katarina / Södermalm,Lägenhet
Furugatan 1F,50.7,2,4024,900000,17751,2023-09-29,Västerås kommun,Haga,Lägenhet
Värdsholmsgatan 3,28.0,1,2320,1125000,40179,2023-09-29,Södertälje kommun,Centralt,Lägenhet
Rusthållarebacken 1,115.0,6,,3300000,,2023-09-29,Eslövs kommun,Södra Eslöv,Villa
Björkgatan 9,99.0,4,,1175000,,2023-09-29,Vänersborgs kommun,Frändefors,Villa
Onsala Bergväg 21,185.0,6,,5250000,,2023-09-29,Kungsbacka kommun,Onsala,Villa
Vallgången 17,150.0,7,,3700000,,2023-09-29,Uddevalla kommun,Fasseröd,Villa
Blekingegatan 18,148.0,7,,2300000,,2023-09-29,Nybro kommun,Södra Nybro,Villa
Norrlanda Bringes Skifte 2 & 3,,,,,,,,,
Sleipnervägen 16,78.0,3,4914,1750000,22436,2023-09-29,Haninge kommun,Centrala Handen,Lägenhet
Fårtickegången 87,119.0,4,,3450000,,2023-09-29,Tyresö kommun,Krusboda,Radhus
Nifsand 323,90.0,3,,2750000,,2023-09-29,Örebro kommun,Odensbacken,Villa
Freyvägen 1A,74.0,3,5060,2650000,35811,2023-09-29,Nacka kommun,Saltsjöbaden,Lägenhet
Olstorpsvägen 22,165.0,5,,3450000,,2023-09-29,Eskilstuna kommun,Ostra/Sundbyholm,Villa
Stomvägen 20,130.0,5,,1695000,,2023-09-29,Tranemo kommun,Länghem,Villa
Lövsångarvägen 10B,105.0,4,7465,2995000,28524,2023-09-29,Österåkers kommun,Margretelund - Tråsättra,Radhus
Axel Johnsons väg 12,83.0,3,3188,5125000,61747,2023-09-29,Danderyds kommun,Danderyd,Lägenhet
Grönvägen 50A,,,,,,,,,
Skolvägen  2 A,50.0,2,3050,125000,2500,2023-09-29,Värnamo kommun,Horda,Lägenhet
Vävaregatan 14B,59.5,2,3085,1550000,26050,2023-09-29,Karlstads kommun,Norrstrand,Lägenhet
Formgatan 26,78.0,3,4494,2950000,37821,2023-09-29,Malmö kommun,Limhamns Sjöstad,Lägenhet
Kålgårdsgatan 29,70.0,3,3715,2800000,40000,2023-09-29,Jönköpings kommun,Kålgården,Lägenhet
Myggdalsvägen 30,88.5,3,6136,2200000,24859,2023-09-29,Tyresö kommun,Centrala Tyresö,Lägenhet
Rubinvägen 10,115.5,4,8543,1400000,,2023-09-29,Trollhättans kommun,Skogshöjden,Villa
Rönnebergavägen 55B,80.0,3,6028,1150000,14375,2023-09-29,Eslövs kommun,Norra Eslöv,Lägenhet
Hindvägen 5,47.0,2,,1190000,,2023-09-29,Södertälje kommun,Mölnbo,Villa
Furulundsvägen 22,154.0,5,,4795000,,2023-09-29,Göteborgs kommun,Säve,Villa
Skogsvägen 8A,40.0,1,2194,320000,8000,2023-09-29,Timrå kommun,Timrå centrum,Lägenhet
Bredsjön Solvägen 43,50.0,2,,1450000,,2023-09-29,Norrtälje kommun,Roslagsbro,Fritidshus
Lagerbergsgatan 5,52.0,2,3358,1400000,26923,2023-09-29,Uddevalla kommun,Centrum,Lägenhet
Knektegårdsgatan 51A,80.0,3,4165,1800000,22500,2023-09-29,Alingsås kommun,Alingsås,Lägenhet
Barrvägen 9B,90.0,4,3722,4695000,52167,2023-09-29,Huddinge kommun,Vistaberg/Glömsta,Radhus
Avestagatan 38,156.0,5,7315,5725000,36699,2023-09-29,Stockholms kommun,Spånga Solhem,Radhus
Östra Bröta 5,92.0,4,,2600000,,2023-09-29,Botkyrka kommun,Grödinge,Villa
Esplanaden 15B,43.0,"1,5",2843,1425000,33140,2023-09-29,Kalmar kommun,Malmen,Lägenhet
Tärby Östra Marsjön 12,70.0,3,,1050000,,2023-09-29,Borås kommun,Fristad,Villa
Kantyxgatan 31,139.0,5,,3250000,,2023-09-29,Västerås kommun,Brandthovda,Radhus
Hammarby Kaj 42,103.0,4,6305,7000000,67961,2023-09-29,Stockholms kommun,Hammarby Sjöstad,Lägenhet
Gottfrids Väg 13 D,84.0,3,5819,2550000,30357,2023-09-29,Lerums kommun,Floda,Lägenhet
Nya Tanneforsvägen 22B,107.0,4,5787,4295000,40140,2023-09-29,Linköpings kommun,Linköping Innerstaden-Hejdegården,Lägenhet
Holmvägen 56,63.0,2,4352,1830000,29048,2023-09-29,Upplands Väsby kommun,Centrala Väsby,Lägenhet
Hertsjö 6803,86.0,5,,775000,,2023-09-29,Bollnäs kommun,Hertsjö,Villa
Mysinge 108,115.0,+42,,1260000,,2023-09-29,Mörbylånga kommun,Mysinge,Villa
Slipargatan 19,144.0,5,,3500000,,2023-09-29,Borlänge kommun,Kvarnsveden,Villa
Murtegelvägen 18,180.0,9,,8300000,,2023-09-29,Västerås kommun,Framnäs,Villa
Lövsångarvägen 7,64.0,3,,1900000,,2023-09-29,Håbo kommun,Skokloster,Villa
Virkesvägen 9G,44.5,"1,5",2745,3350000,75281,2023-09-29,Stockholms kommun,Hammarby Sjöstad,Lägenhet
Hagabergsvägen 18,1.0,053,,2750000,,2023-09-29,Trosa kommun,Hagaberg,Tomt
Ivar Vidfamnes gata 8,56.0,2,3583,4450000,79464,2023-09-29,Stockholms kommun,Aspudden/Örnsberg,Lägenhet
Mellangatan 27,188.0,8,,5600000,,2023-09-29,Piteå kommun,Centralt,Villa
Asteroidvägen 4F,31.5,1,2261,1450000,46032,2023-09-29,Norrtälje kommun,Solbacka Gård,Lägenhet
Skyttegatan 6,55.5,2,3552,495000,8919,2023-09-29,Karlsborgs kommun,Södra Skogen,Lägenhet
Amiralsgatan 83 E,68.0,3,5206,1595000,23456,2023-09-29,Malmö kommun,Nobeltorget,Lägenhet
Östra Tallgatan 4A,39.0,2,4297,470000,12051,2023-09-29,Helsingborgs kommun,Planteringen,Lägenhet
Bröttjärna 203,67.0,3,,1100000,,2023-09-29,Gagnefs kommun,Bröttjärna,Villa
Skräddaretorpsvägen 15B,65.0,2,4094,1100000,16923,2023-09-29,Kalmar kommun,Djurängen,Lägenhet
Torp i  Trönö med jakträtt,,,,,,,,,
Kvarntorpsvägen 9,80.0,3,,270000,,2023-09-29,Luleå kommun,Niemisel,Villa
Schedins gata 1,90.0,4,,2430000,,2023-09-29,Linköpings kommun,Malmslätt,Villa
Ringvägen 6E,76.0,3,5863,660000,8684,2023-09-29,Gnosjö kommun,Centralt,Lägenhet
